Player Name, Player Team, Record, KDA, Kills, Deaths, Assists, Last Hits, Denies, GPM, XPM
Garda,Teamwork Makes the Dream Work,1-7,2.57,7.00,9.50,17.38,223.50,6.50,440,573,
Snow,Canoe and the Canoobs,5-3,4.07,4.00,5.25,17.38,197.75,5.13,397,486,
Sheepsticked,PizzaDog,5-1,4.46,7.83,5.83,18.17,127.50,7.17,427,607,
Mjawn,Earning The Wins,3-1,2.02,3.00,11.25,19.75,58.75,5.00,323,473,
The Beast of US East,[F]ive Above Average Dude[$],3-3,2.90,8.00,6.83,11.83,142.33,6.83,442,524,
Klankers,I Swear This Is My Account,2-4,1.84,6.83,10.50,12.50,157.67,8.83,413,500,
Shrek,TheGreenKnightNo Proper Carry,2-4,2.32,9.33,11.00,16.17,250.67,16.50,502,659,
Filski,No Banned Players (yet),5-1,6.19,6.67,3.50,15.00,238.67,7.83,518,613,
Mietore,Dog Owners,2-4,2.86,4.33,6.17,13.33,205.00,6.83,436,542,
Eleven seventeen,Heck Teddy,3-2,3.52,7.20,5.00,10.40,157.00,9.40,455,583,
Journey,FrostFire Simps,6-0,11.00,6.67,2.17,17.17,151.67,9.50,480,599,
Hobbes,Hwhatever..WHATEVER,5-1,4.92,4.67,4.33,16.67,147.33,3.67,433,556,
Kstigs,Copium Crusaders,4-2,6.30,5.67,3.33,15.33,180.67,9.83,476,600,
Smowee,Pizza Happy Meal,4-4,1.89,2.25,6.88,10.75,78.13,3.38,283,361,
Webby1313,Rejects,4-2,5.52,5.33,3.50,14.00,252.83,9.67,476,607,
marshaL,1st Team All Cursed,2-2,5.24,11.00,5.25,16.50,261.75,17.75,551,617,
Joric,Nearsquaad,0-6,2.08,3.33,8.33,14.00,139.50,8.67,350,460,
Dauto,Anti-Meta,1-5,2.78,8.17,7.67,13.17,100.83,4.50,355,408,
Tianyi,60% Below Average and Very ...,1-3,2.23,3.50,7.75,13.75,166.25,9.50,380,488,
Forth Eorlingas,Menaces to Sobriety,1-4,2.89,6.40,5.40,9.20,206.40,7.40,457,629,
