Position,,Gregory and The Cool Kids,,Position,,Canoe and the Canoobs
1,Sonnegod,https://www.dotabuff.com/players/49219700 ,,1,Nera,https://www.dotabuff.com/players/151428783 
2,Brightside,https://www.dotabuff.com/players/118394602 ,,2,Cev,https://www.dotabuff.com/players/223376902 
3,Garda,https://www.dotabuff.com/players/190248321 ,,3,Snow,https://www.dotabuff.com/players/107944284 
4,Smack,https://www.dotabuff.com/players/157808123 ,,4,Artorius,https://www.dotabuff.com/players/99623012 
5,Gng,https://www.dotabuff.com/players/41811837 ,,5,Flesh Canoe,https://www.dotabuff.com/players/126042590 
,,,,,,
Position,,Pizzadog,,Position,,Earning The Wins
1,Skyward,https://www.dotabuff.com/players/135178273 ,,1,Sasquatch,https://www.dotabuff.com/players/18565955  
2,Bingu,https://www.dotabuff.com/players/378234253 ,,2,Hanmingzyy,https://www.dotabuff.com/players/74883563 
3,Sheepsticked,https://www.dotabuff.com/players/97577101 ,,3,Mjawn,https://www.dotabuff.com/players/46398245 
4,ET,https://www.dotabuff.com/players/126188066 ,,4,Dark,https://www.dotabuff.com/players/79247165
5,Xeriscape,https://www.dotabuff.com/players/289144672 ,,5,6dog,https://www.dotabuff.com/players/75532826 
,,,,,,
Position,,Five Above Average Dudes,,Position,,I Swear This Is My Account
1,Envi, https://www.dotabuff.com/players/58444158 ,,1,Nedd,https://www.dotabuff.com/players/171039241 
2,Fatalness,https://www.dotabuff.com/players/109852891 ,,2,TreeHard,https://www.dotabuff.com/players/129050083 
3,The Beast of US East,https://www.dotabuff.com/players/202387041 ,,3,Klankers,https://www.dotabuff.com/players/91646078 
4,Cuh,https://www.dotabuff.com/players/119377295 ,,4,USSGuam,https://www.dotabuff.com/players/65471020 
5,Notorious,https://www.dotabuff.com/players/153728555 ,,5,Baker,https://www.dotabuff.com/players/75391698 
,,,,,,
Position,,Team NPC,,Position,,No Banned Players 
1,Doss,https://www.dotabuff.com/players/115827611 ,,1,Ultragunner,https://www.dotabuff.com/players/106670947 
2,Fury,https://www.dotabuff.com/players/373602298 ,,2,Pattern,https://www.dotabuff.com/players/87431994 
3,Shrek,https://www.dotabuff.com/players/111257590 ,,3,Filski,https://www.dotabuff.com/players/110962575 
4,Salty,https://www.dotabuff.com/players/309111464 ,,4,Jynx,https://www.dotabuff.com/esports/players/205315555-jynx 
